n, time_strassen, time_blas
 2, 1e-06, 3e-06 
 4, 3e-06, 3e-06 
 6, 5e-06, 1e-06 
 8, 1.7e-05, 3e-06 
 10, 6e-06, 1e-06 
 12, 1.3e-05, 1e-06 
 14, 8e-06, 2e-06 
 16, 0.000115, 4e-06 
 18, 1.3e-05, 3e-06 
 20, 3.1e-05, 6e-06 
 22, 1.9e-05, 6e-06 
 24, 8.9e-05, 8e-06 
 26, 2.6e-05, 9e-06 
 28, 5.7e-05, 1.2e-05 
 30, 3.8e-05, 1.5e-05 
 32, 0.000938, 2.6e-05 
 34, 5.1e-05, 2.4e-05 
 36, 0.000102, 2.6e-05 
 38, 6.6e-05, 3.2e-05 
 40, 0.000235, 4.3e-05 
 42, 8.4e-05, 5e-05 
 44, 0.000158, 5.8e-05 
 46, 0.000102, 5.5e-05 
 48, 0.000662, 6.2e-05 
 50, 0.000125, 7.1e-05 
 52, 0.000231, 7.8e-05 
 54, 0.000151, 8.7e-05 
 56, 0.000452, 9.8e-05 
 58, 0.000178, 0.000109 
 60, 0.000311, 0.00012 
 62, 0.000201, 0.000124 
 64, 0.005756, 0.000125 
 66, 0.000208, 0.000134 
 68, 0.000349, 0.000146 
 70, 0.000273, 0.000159 
 72, 0.000692, 0.000174 
 74, 0.000278, 0.000188 
 76, 0.000451, 0.000225 
 78, 0.000334, 0.000251 
 80, 0.001547, 0.000285 
 82, 0.000462, 0.000274 
 84, 0.000567, 0.000301 
 86, 0.000443, 0.000321 
 88, 0.001041, 0.000343 
 90, 0.000462, 0.000404 
 92, 0.000733, 0.00036 
 94, 0.000558, 0.00039 
 96, 0.004068, 0.000441 
 98, 0.000599, 0.00046 
 100, 0.000848, 0.000487 
 102, 0.000674, 0.000516 
 104, 0.00151, 0.000545 
 106, 0.000732, 0.000576 
 108, 0.001044, 0.00066 
 110, 0.000806, 0.000679 
 112, 0.003047, 0.000757 
 114, 0.000878, 0.000713 
 116, 0.001261, 0.000798 
 118, 0.000978, 0.000842 
 120, 0.002059, 0.000883 
 122, 0.001043, 0.000926 
 124, 0.001469, 0.000947 
 126, 0.001203, 0.001039 
 128, 0.041681, 0.001082 
 130, 0.001366, 0.001154 
 132, 0.001769, 0.00114 
 134, 0.001352, 0.001228 
 136, 0.002702, 0.001266 
 138, 0.001487, 0.0013 
 140, 0.002221, 0.001375 
 142, 0.001565, 0.001425 
 144, 0.004848, 0.001455 
 146, 0.001711, 0.001513 
 148, 0.002302, 0.001554 
 150, 0.001994, 0.001662 
 152, 0.003445, 0.001745 
 154, 0.002134, 0.001788 
 156, 0.002623, 0.00186 
 158, 0.002275, 0.002358 
 160, 0.010696, 0.002046 
 162, 0.002507, 0.002098 
 164, 0.002968, 0.002182 
 166, 0.002665, 0.002211 
 168, 0.004434, 0.002314 
 170, 0.002804, 0.002375 
 172, 0.003367, 0.002465 
 174, 0.00297, 0.002579 
 176, 0.007587, 0.002608 
 178, 0.003284, 0.002715 
 180, 0.003677, 0.002842 
 182, 0.003144, 0.00296 
 184, 0.005454, 0.003053 
 186, 0.003624, 0.003159 
 188, 0.004183, 0.003293 
 190, 0.003765, 0.003325 
 192, 0.028953, 0.003354 
 194, 0.003997, 0.003564 
 196, 0.004642, 0.003565 
 198, 0.004313, 0.003861 
 200, 0.006642, 0.003878 
 202, 0.004493, 0.004139 
 204, 0.00518, 0.00419 
 206, 0.004783, 0.004244 
 208, 0.011038, 0.004292 
 210, 0.005004, 0.004486 
 212, 0.005636, 0.004802 
 214, 0.005389, 0.00476 
 216, 0.007931, 0.00482 
 218, 0.005553, 0.005384 
 220, 0.006579, 0.005305 
 222, 0.005897, 0.005371 
 224, 0.020575, 0.005295 
 226, 0.006153, 0.005632 
 228, 0.006917, 0.005703 
 230, 0.006528, 0.005901 
 232, 0.009317, 0.005967 
 234, 0.00707, 0.006288 
 236, 0.007564, 0.006475 
 238, 0.007103, 0.006546 
 240, 0.014988, 0.006639 
 242, 0.007326, 0.006764 
 244, 0.008151, 0.006962 
 246, 0.007656, 0.007242 
 248, 0.01159, 0.007564 
 250, 0.008255, 0.007485 
 252, 0.009144, 0.007662 
 254, 0.008612, 0.007925 
 256, 0.279396, 0.007792 
 258, 0.008732, 0.008251 
 260, 0.009704, 0.008389 
 262, 0.009219, 0.008537 
 264, 0.012871, 0.008949 
 266, 0.009535, 0.009117 
 268, 0.010682, 0.009182 
 270, 0.009928, 0.009401 
 272, 0.019691, 0.009507 
 274, 0.010351, 0.009788 
 276, 0.01166, 0.0101 
 278, 0.01092, 0.010214 
 280, 0.016284, 0.010356 
 282, 0.011342, 0.010565 
 284, 0.012159, 0.011092 
 286, 0.012054, 0.011115 
 288, 0.035192, 0.011449 
 290, 0.012511, 0.011588 
 292, 0.013442, 0.011856 
 294, 0.012605, 0.012055 
 296, 0.016831, 0.012104 
 298, 0.013406, 0.012709 
 300, 0.015228, 0.01321 
 302, 0.013666, 0.013072 
 304, 0.02525, 0.013184 
 306, 0.014133, 0.013456 
 308, 0.01669, 0.013858 
 310, 0.014689, 0.014017 
 312, 0.019259, 0.014164 
 314, 0.015285, 0.014523 
 316, 0.017588, 0.014828 
 318, 0.015577, 0.015296 
 320, 0.075376, 0.017659 
 322, 0.01738, 0.015746 
 324, 0.018551, 0.016037 
 326, 0.016907, 0.016992 
 328, 0.022069, 0.016785 
 330, 0.017464, 0.016974 
 332, 0.019924, 0.018014 
 334, 0.018176, 0.017632 
 336, 0.031709, 0.018375 
 338, 0.019254, 0.018082 
 340, 0.021031, 0.018459 
 342, 0.019542, 0.018916 
 344, 0.024771, 0.019262 
 346, 0.019937, 0.01892 
 348, 0.02229, 0.019738 
 350, 0.021042, 0.020286 
 352, 0.053892, 0.020233 
 354, 0.021238, 0.02141 
 356, 0.023808, 0.020604 
 358, 0.022051, 0.021443 
 360, 0.02774, 0.021956 
 362, 0.022894, 0.022617 
 364, 0.023649, 0.022661 
